destination_name,country,region,travel_style_label,wikivoyage_url
Sa Pa,Vietnam,Southeast Asia,Culture,https://en.wikivoyage.org/wiki/Sa_Pa
Kyoto,Japan,East Asia,Culture,https://en.wikivoyage.org/wiki/Kyoto
Zermatt,Switzerland,Western Europe,Adventure,https://en.wikivoyage.org/wiki/Zermatt
Maldives,Maldives,South Asia,Luxury,https://en.wikivoyage.org/wiki/Maldives
Rome,Italy,Southern Europe,Culture,https://en.wikivoyage.org/wiki/Rome
Hoi An,Vietnam,Southeast Asia,Culture,https://en.wikivoyage.org/wiki/Hoi_An
Kathmandu,Nepal,South Asia,Culture,https://en.wikivoyage.org/wiki/Kathmandu
Monaco,Monaco,Western Europe,Luxury,https://en.wikivoyage.org/wiki/Monaco
Orlando,United States,North America,Family,https://en.wikivoyage.org/wiki/Orlando
Barbados,Barbados,Caribbean,Relaxation,https://en.wikivoyage.org/wiki/Barbados
Queenstown,New Zealand,Oceania,Adventure,https://en.wikivoyage.org/wiki/Queenstown_(New_Zealand)
Interlaken,Switzerland,Western Europe,Adventure,https://en.wikivoyage.org/wiki/Interlaken
Moab,United States,North America,Adventure,https://en.wikivoyage.org/wiki/Moab
Puerto Natales,Chile,South America,Adventure,https://en.wikivoyage.org/wiki/Puerto_Natales
Chamonix,France,Western Europe,Adventure,https://en.wikivoyage.org/wiki/Chamonix
La Fortuna,Costa Rica,Central America,Adventure,https://en.wikivoyage.org/wiki/La_Fortuna
Innsbruck,Austria,Western Europe,Adventure,https://en.wikivoyage.org/wiki/Innsbruck
Whistler,Canada,North America,Adventure,https://en.wikivoyage.org/wiki/Whistler
Cairns,Australia,Oceania,Adventure,https://en.wikivoyage.org/wiki/Cairns
Pokhara,Nepal,South Asia,Adventure,https://en.wikivoyage.org/wiki/Pokhara
Vík,Iceland,Northern Europe,Adventure,https://en.wikivoyage.org/wiki/V%C3%ADk
Hokkaido,Japan,East Asia,Adventure,https://en.wikivoyage.org/wiki/Hokkaido
Moshi,Tanzania,East Africa,Adventure,https://en.wikivoyage.org/wiki/Moshi
Luang Prabang,Laos,Southeast Asia,Culture,https://en.wikivoyage.org/wiki/Luang_Prabang
Cape Town,South Africa,Southern Africa,Adventure,https://en.wikivoyage.org/wiki/Cape_Town
Ushuaia,Argentina,South America,Adventure,https://en.wikivoyage.org/wiki/Ushuaia
Rishikesh,India,South Asia,Relaxation,https://en.wikivoyage.org/wiki/Rishikesh
Rotorua,New Zealand,Oceania,Adventure,https://en.wikivoyage.org/wiki/Rotorua
Banff,Canada,North America,Adventure,https://en.wikivoyage.org/wiki/Banff
Krabi,Thailand,Southeast Asia,Adventure,https://en.wikivoyage.org/wiki/Krabi
Hanoi,Vietnam,Southeast Asia,Budget,https://en.wikivoyage.org/wiki/Hanoi
Chiang Mai,Thailand,Southeast Asia,Budget,https://en.wikivoyage.org/wiki/Chiang_Mai
Siem Reap,Cambodia,Southeast Asia,Budget,https://en.wikivoyage.org/wiki/Siem_Reap
Tbilisi,Georgia,Central Asia,Budget,https://en.wikivoyage.org/wiki/Tbilisi
Medellin,Colombia,South America,Budget,https://en.wikivoyage.org/wiki/Medell%C3%ADn
Sofia,Bulgaria,Eastern Europe,Budget,https://en.wikivoyage.org/wiki/Sofia
Krakow,Poland,Eastern Europe,Budget,https://en.wikivoyage.org/wiki/Krak%C3%B3w
Colombo,Sri Lanka,South Asia,Budget,https://en.wikivoyage.org/wiki/Colombo
Mexico City,Mexico,North America,Budget,https://en.wikivoyage.org/wiki/Mexico_City
Jakarta,Indonesia,Southeast Asia,Budget,https://en.wikivoyage.org/wiki/Jakarta
Ubud,Indonesia,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Ubud
Koh Samui,Thailand,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Koh_Samui
Phuket,Thailand,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Phuket
Tulum,Mexico,North America,Relaxation,https://en.wikivoyage.org/wiki/Tulum
Algarve,Portugal,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Algarve
St. Barts,France,Caribbean,Luxury,https://en.wikivoyage.org/wiki/Saint_Barth%C3%A9lemy
Mykonos,Greece,Southern Europe,Luxury,https://en.wikivoyage.org/wiki/Mykonos
Amalfi Coast,Italy,Southern Europe,Luxury,https://en.wikivoyage.org/wiki/Amalfi_Coast
Aspen,United States,North America,Luxury,https://en.wikivoyage.org/wiki/Aspen
